Unannotated Annotated CDSs
RS_GCF_001267925.1 1664 2778 4442
RS_GCF_000170735.1 752 991 1743
RS_GCF_000372645.1 1900 2148 4048
RS_GCF_000875755.1 921 572 1493
RS_GCF_000300415.1 2032 2958 4990
RS_GCF_000691145.1 1257 2497 3754
RS_GCF_000021545.1 658 1057 1715
RS_GCF_000591415.1 1443 2272 3715
RS_GCF_001412105.1 1048 1282 2330
RS_GCF_000800825.1 1162 2527 3689
RS_GCF_000020105.1 1005 1251 2256
RS_GCF_000714545.1 1597 2026 3623
RS_GCF_000765975.1 985 933 1918
RS_GCF_000429225.1 1576 1273 2849
RS_GCF_000190555.1 1401 1345 2746
RS_GCF_001044245.1 2349 3103 5452
RS_GCF_000746985.1 1588 2677 4265
RS_GCF_000266885.1 2684 1505 4189
RS_GCF_000440555.1 806 1231 2037
RS_GCF_000307145.1 613 1660 2273
RS_GCF_000816265.1 776 979 1755
RS_GCF_001312005.1 3431 2570 6001
RS_GCF_000154285.1 1000 1148 2148
RS_GCF_000732725.1 2151 2021 4172
RS_GCF_000146165.2 2000 2595 4595
RS_GCF_000621005.1 845 992 1837
RS_GCF_001403775.1 869 1137 2006
RS_GCF_000175895.1 1247 1054 2301
RS_GCF_000243135.2 1535 1869 3404
RS_GCF_000621085.1 973 492 1465
RS_GCF_000512145.1 465 481 946
RS_GCF_001425325.1 1582 1791 3373
RS_GCF_000744375.1 1773 1960 3733
RS_GCF_000619905.2 1485 1515 3000
RS_GCF_000295735.1 1565 1778 3343
RS_GCF_000702485.1 1872 2190 4062
RS_GCF_001022195.1 2203 4668 6871
RS_GCF_000411535.1 703 1153 1856
RS_GCF_001375495.1 1067 1378 2445
RS_GCF_000735445.1 1269 3446 4715
RS_GCF_001426645.1 1344 1879 3223
RS_GCF_000495855.1 2014 1771 3785
RS_GCF_001151185.1 1055 3104 4159
RS_GCF_000300195.1 2064 1879 3943
RS_GCF_000613645.1 1877 1510 3387
RS_GCF_000162895.1 1040 1060 2100
RS_GCF_000024265.1 1626 1490 3116
RS_GCF_000718085.1 1545 1611 3156
RS_GCF_000621385.1 1555 1609 3164
RS_GCF_000745725.1 3183 3769 6952
RS_GCF_001182825.2 763 1121 1884
RS_GCF_000376945.1 1265 2202 3467
RS_GCF_000826835.1 1935 2077 4012
RS_GCF_000025725.1 1294 1727 3021
RS_GCF_000768585.1 884 1284 2168
RS_GCF_000613785.1 1731 1059 2790
RS_GCF_000717405.1 3520 3360 6880
RS_GCF_000178955.2 2802 2103 4905
RS_GCF_000174355.1 1454 2459 3913
RS_GCF_000425105.1 1189 1419 2608
RS_GCF_000473205.1 2339 2474 4813
RS_GCF_000163475.1 461 1552 2013
RS_GCF_001423525.1 1867 2147 4014
RS_GCF_000247625.1 821 654 1475
RS_GCF_000770945.1 856 1001 1857
RS_GCF_000765685.1 921 941 1862
RS_GCF_000515235.1 1631 1242 2873
RS_GCF_000420545.1 1312 1563 2875
RS_GCF_000615805.1 803 1402 2205
RS_GCF_000147075.1 1010 1219 2229
RS_GCF_000064305.2 1349 1164 2513
RS_GCF_000278155.1 654 911 1565
RS_GCF_000264055.1 2025 1505 3530
RS_GCF_000429925.1 1952 1907 3859
RS_GCF_000244755.1 2332 1537 3869
RS_GCF_000265465.1 1317 1018 2335
RS_GCF_001023535.1 2209 3312 5521
RS_GCF_001425125.1 2022 2666 4688
RS_GCF_000187745.1 907 1182 2089
RS_GCF_000372965.1 2673 3179 5852
RS_GCF_000799095.1 1395 1844 3239
RS_GCF_000381945.1 1171 1563 2734
RS_GCF_000153565.1 1443 1825 3268
RS_GCF_000975175.1 3018 3408 6426
RS_GCF_000967115.2 1320 1530 2850
RS_GCF_000214375.1 1835 1666 3501
RS_GCF_000015665.1 938 963 1901
RS_GCF_000513935.1 3001 3100 6101
RS_GCF_000024665.1 1949 1175 3124
RS_GCF_001426905.1 2441 2218 4659
RS_GCF_000180175.2 1927 3166 5093
RS_GCF_000478505.2 2322 3017 5339
RS_GCF_000354175.2 1770 2806 4576
RS_GCF_000735535.1 1914 1571 3485
RS_GCF_000269985.1 4387 3222 7609
RS_GCF_000148525.1 760 1166 1926
RS_GCF_001423125.1 2038 2420 4458
RS_GCF_000506865.1 1068 1566 2634
RS_GCF_000159135.1 1188 1386 2574
RS_GCF_000482845.1 977 1193 2170
RS_GCF_000024785.1 2420 2583 5003
RS_GCF_000379445.1 1374 1351 2725
RS_GCF_000147355.1 1017 1145 2162
RS_GCF_000344175.1 1203 1851 3054
RS_GCF_000685055.1 3702 4277 7979
RS_GCF_000514615.1 2604 2379 4983
RS_GCF_000744575.1 3025 3292 6317
RS_GCF_000379665.1 2306 1559 3865
RS_GCF_000430585.1 1258 1927 3185
RS_GCF_000314555.1 855 1506 2361
RS_GCF_000025885.1 703 1210 1913
RS_GCF_000737535.1 1766 1247 3013
RS_GCF_000335715.1 1383 2093 3476
RS_GCF_000526355.1 2136 1634 3770
RS_GCF_000299115.1 485 1008 1493
RS_GCF_000090875.1 991 1342 2333
RS_GCF_000379465.1 3788 4323 8111
RS_GCF_000513895.1 2712 3182 5894
RS_GCF_000772695.1 2093 2152 4245
RS_GCF_000753835.1 1095 1925 3020
RS_GCF_000314835.2 1186 2839 4025
RS_GCF_000426605.1 1111 1450 2561
RS_GCF_000283615.1 915 1602 2517
RS_GCF_000744555.1 2396 1972 4368
RS_GCF_000968135.1 1860 1945 3805
RS_GCF_000245355.1 5109 4133 9242
RS_GCF_000734015.1 646 1098 1744
RS_GCF_000299455.1 1403 3762 5165
RS_GCF_000143845.1 747 1028 1775
RS_GCF_000511405.1 1720 2308 4028
RS_GCF_000760355.1 932 974 1906
RS_GCF_000743945.1 521 1149 1670
RS_GCF_000017425.1 1797 2305 4102
RS_GCF_000384435.1 949 1460 2409
RS_GCF_000321105.1 2052 1864 3916
RS_GCF_000621445.1 2203 2631 4834
RS_GCF_000247475.1 2515 2688 5203
RS_GCF_001281115.1 1619 1911 3530
RS_GCF_000026505.1 1194 1638 2832
RS_GCF_000369065.1 1396 1912 3308
RS_GCF_000424305.1 1225 1337 2562
RS_GCF_000429825.1 1882 2688 4570
RS_GCF_000712185.1 785 465 1250
RS_GCF_000371965.1 1805 2325 4130
RS_GCF_000745015.1 3301 4119 7420
RS_GCF_000315425.1 2361 2859 5220
RS_GCF_000021725.1 732 1005 1737
RS_GCF_000368925.1 2376 2269 4645
RS_GCF_000720675.1 3503 3242 6745
RS_GCF_000956575.1 1571 1913 3484
RS_GCF_000423885.1 1242 1638 2880
RS_GCF_001418335.1 4528 3591 8119
RS_GCF_000741165.1 1342 1225 2567
RS_GCF_001427525.1 1649 2080 3729
RS_GCF_000428585.1 2758 2187 4945
RS_GCF_000507105.1 1211 2733 3944
RS_GCF_000801835.1 2120 3425 5545
RS_GCF_000403375.2 1721 2579 4300
RS_GCF_000213575.1 1885 1519 3404
RS_GCF_000621705.1 2266 1990 4256
RS_GCF_001426725.1 2056 2040 4096
RS_GCF_000719415.1 4022 3081 7103
RS_GCF_000018065.1 1002 984 1986
RS_GCF_000316665.1 4158 2689 6847
RS_GCF_001426065.1 1915 2497 4412
RS_GCF_000192745.1 2053 2373 4426
RS_GCF_000007645.1 748 1603 2351
RS_GCF_000008245.1 844 494 1338
RS_GCF_000316945.1 757 1617 2374
RS_GCF_000238995.1 1699 308 2007
RS_GCF_000941075.1 1128 502 1630
RS_GCF_000832125.1 2580 1926 4506
RS_GCF_000775915.1 3071 1911 4982
RS_GCF_000428685.1 1213 1356 2569
RS_GCF_000279165.1 1422 2415 3837
RS_GCF_000295715.1 768 1745 2513
RS_GCF_000703065.1 1730 1345 3075
RS_GCF_000091785.1 1828 1721 3549
RS_GCF_000282535.1 1988 3194 5182
RS_GCF_000412185.1 1665 1530 3195
RS_GCF_000511795.1 1002 1370 2372
RS_GCF_001050135.1 2920 2017 4937
RS_GCF_000185285.1 953 1068 2021
RS_GCF_001316435.1 864 1326 2190
RS_GCF_000301035.1 643 1067 1710
RS_GCF_000155675.2 2768 2538 5306
RS_GCF_000008405.1 836 480 1316
RS_GCF_000293885.2 2651 3693 6344
RS_GCF_000478825.2 1877 1630 3507
RS_GCF_000729985.1 1565 1282 2847
RS_GCF_000284595.1 2102 2218 4320
RS_GCF_000585115.1 1017 1232 2249
RS_GCF_000209515.1 1249 1508 2757
RS_GCF_000771185.1 1016 1229 2245
RS_GCF_000266945.1 3058 2563 5621
RS_GCF_000350105.1 1063 1168 2231
RS_GCF_000425765.1 1677 2776 4453
RS_GCF_000015645.1 912 979 1891
RS_GCF_001070805.1 876 1170 2046
RS_GCF_001320045.1 1922 3057 4979
RS_GCF_000379365.1 1540 1197 2737
RS_GCF_000423785.1 630 1355 1985
RS_GCF_000725785.1 4136 3719 7855
RS_GCF_001426485.1 1726 1929 3655
RS_GCF_000308615.1 4905 4735 9640
RS_GCF_000970885.2 1890 2296 4186
RS_GCF_000527075.1 2105 2409 4514
RS_GCF_000309075.1 613 681 1294
RS_GCF_000515215.1 2701 2285 4986
RS_GCF_000472525.1 3213 3756 6969
RS_GCF_000430865.1 2173 1806 3979
RS_GCF_000428885.1 1375 1531 2906
RS_GCF_000583695.1 1723 2237 3960
RS_GCF_000317695.1 3854 2337 6191
RS_GCF_000746095.1 964 1386 2350
RS_GCF_000090405.2 1745 1486 3231
RS_GCF_000006965.1 2767 3535 6302
RS_GCF_000420165.1 1141 1529 2670
RS_GCF_000744155.1 1153 1491 2644
RS_GCF_000317615.1 2043 1555 3598
RS_GCF_000496075.1 1819 2242 4061
RS_GCF_000210055.1 2403 1218 3621
RS_GCF_000422445.1 2053 2343 4396
RS_GCF_000612865.1 1470 2197 3667
RS_GCF_000214235.1 1417 3558 4975
RS_GCF_000161895.2 524 988 1512
RS_GCF_000092585.1 1115 532 1647
RS_GCF_001042895.1 1654 2950 4604
RS_GCF_000568615.1 2341 2435 4776
RS_GCF_000807295.1 364 466 830
RS_GCF_000413895.1 1580 2031 3611
RS_GCF_000378225.1 1118 1568 2686
RS_GCF_000092505.1 840 1247 2087
RS_GCF_000876675.1 2982 2882 5864
RS_GCF_000488195.1 2049 2189 4238
RS_GCF_000022565.1 1720 1649 3369
RS_GCF_000367925.1 1482 1840 3322
RS_GCF_000381985.1 1699 2107 3806
RS_GCF_000315015.1 1939 2439 4378
RS_GCF_000721035.1 3492 3073 6565
RS_GCF_000334215.1 830 1710 2540
RS_GCF_001417955.2 3331 3561 6892
RS_GCF_001021715.1 1305 1567 2872
RS_GCF_000379145.1 4822 4136 8958
RS_GCF_000055785.1 1046 2275 3321
RS_GCF_000277125.1 2058 2978 5036
RS_GCF_000026125.1 1395 1868 3263
RS_GCF_000009205.1 1703 2122 3825
RS_GCF_000152705.1 2062 1963 4025
RS_GCF_001424165.1 2286 2409 4695
RS_GCF_000167195.1 3952 2675 6627
RS_GCF_000740315.1 1165 1955 3120
RS_GCF_000737555.1 1014 1580 2594
RS_GCF_000967945.1 2436 3334 5770
RS_GCF_000019525.1 2348 2648 4996
RS_GCF_001021175.1 1032 1186 2218
RS_GCF_000025845.1 1088 541 1629
RS_GCF_000195515.1 1415 2591 4006
RS_GCF_001010885.1 1650 2036 3686
RS_GCF_000332235.1 2462 1651 4113
RS_GCF_000745475.1 2258 3011 5269
RS_GCF_000948415.1 1641 2258 3899
RS_GCF_000988225.1 1147 1411 2558
RS_GCF_000166395.1 2007 1648 3655
RS_GCF_000311925.1 1487 1124 2611
RS_GCF_000966355.1 2531 1398 3929
RS_GCF_001280205.1 1524 1550 3074
RS_GCF_000759445.1 2012 2966 4978
RS_GCF_000312305.1 2519 1092 3611
RS_GCF_000184945.1 1450 1173 2623
RS_GCF_000421245.1 1553 1663 3216
RS_GCF_000411995.1 4499 4392 8891
RS_GCF_000152885.1 918 1613 2531
RS_GCF_000413055.1 1137 1150 2287
RS_GCF_000270165.1 695 1313 2008
RS_GCF_000364565.1 1280 1551 2831
RS_GCF_000296465.1 1586 1221 2807
RS_GCF_000426685.1 1672 2269 3941
RS_GCF_000499525.1 1691 2046 3737
RS_GCF_000166275.1 2266 1762 4028
RS_GCF_000427445.1 1947 1731 3678
RS_GCF_000800185.1 1185 2292 3477
RS_GCF_000418305.1 1035 1574 2609
RS_GCF_000168855.1 2406 3051 5457
RS_GCF_000422965.1 2074 2752 4826
RS_GCF_000426765.1 1147 2286 3433
RS_GCF_000818395.1 2467 2558 5025
RS_GCF_000721515.1 4468 3485 7953
RS_GCF_001428045.1 3268 3849 7117
RS_GCF_001422375.1 2280 2057 4337
RS_GCF_000692275.1 1191 3496 4687
RS_GCF_000009945.1 420 574 994
RS_GCF_000378825.1 2532 2217 4749
RS_GCF_000828675.1 794 1307 2101
RS_GCF_000172175.1 2774 1943 4717
RS_GCF_000718785.1 3787 3208 6995
RS_GCF_000419685.1 1539 1231 2770
RS_GCF_000307775.2 1916 2602 4518
RS_GCF_001278035.1 2269 2275 4544
RS_GCF_000421205.1 1458 1034 2492
RS_GCF_001021085.1 421 655 1076
RS_GCF_000403335.2 3024 1636 4660
RS_GCF_000365425.1 2454 2292 4746
RS_GCF_000336555.1 2031 2164 4195
RS_GCF_000018085.1 1419 3648 5067
RS_GCF_000949475.1 2609 2096 4705
RS_GCF_000007125.1 1201 1951 3152
RS_GCF_000383095.1 1727 1954 3681
RS_GCF_000421745.1 1048 1288 2336
RS_GCF_000209445.1 1253 1449 2702
RS_GCF_000020265.1 2909 3172 6081
RS_GCF_000426725.1 3249 1926 5175
RS_GCF_000731295.1 2783 3377 6160
RS_GCF_000062885.1 3498 3781 7279
RS_GCF_000710345.2 945 1466 2411
RS_GCF_000308755.1 3669 3108 6777
RS_GCF_000250655.1 3680 3806 7486
RS_GCF_000479355.1 935 596 1531
RS_GCF_000007605.1 432 570 1002
RS_GCF_000797495.1 2810 3017 5827
RS_GCF_000768065.1 2145 2191 4336
RS_GCF_000421105.1 1185 1534 2719
RS_GCF_000372445.1 916 1190 2106
RS_GCF_000622325.1 1833 2187 4020
RS_GCF_001280925.1 965 3709 4674
RS_GCF_000019285.1 746 1228 1974
RS_GCF_000621405.1 1361 1253 2614
RS_GCF_000013045.1 1582 1454 3036
RS_GCF_000746825.1 1071 1560 2631
RS_GCF_000226255.1 1704 1721 3425
RS_GCF_001278845.1 1742 1354 3096
RS_GCF_000830155.1 1176 1697 2873
RS_GCF_000217835.1 1046 1927 2973
RS_GCF_000423105.1 1032 1719 2751
RS_GCF_000743705.1 1983 2220 4203
RS_GCF_000569055.1 843 1094 1937
RS_GCF_000153805.1 1356 1158 2514
RS_GCF_000988015.1 1498 1576 3074
RS_GCF_000219585.1 1835 1724 3559
