Prokka_unannotated Prokka_annotated Prokka_CDSs KEGG_unannotated KEGG_annotated Pfam_unannotated Pfam_annotated KEGG_Pfam_CDSs
RS_GCF_001187915.1 1479 1717 3196 1369 1893 603 2659 3262
RS_GCF_000270465.1 784 1637 2421 794 1627 300 2121 2421
RS_GCF_000975305.1 1227 2887 4114 1060 3060 396 3724 4120
RS_GCF_000807855.2 2972 2011 4983 2827 2168 1335 3660 4995
RS_GCF_000011365.1 4454 4045 8499 3757 4741 1793 6705 8498
RS_GCF_000263795.2 2203 2795 4998 1801 3199 690 4310 5000
RS_GCF_000160015.1 741 1193 1934 678 1258 324 1612 1936
RS_GCF_000423745.1 881 1189 2070 839 1249 360 1728 2088
RS_GCF_000185745.1 547 999 1546 396 1150 185 1361 1546
RS_GCF_000312485.1 1402 3151 4553 1343 3219 559 4003 4562
RS_GCF_000739895.2 1987 1986 3973 1616 2376 710 3282 3992
RS_GCF_000422705.1 2043 1433 3476 1915 1566 869 2612 3481
RS_GCF_000189255.1 1666 2609 4275 1425 2887 511 3801 4312
RS_GCF_000759535.1 1723 2554 4277 1413 2864 616 3661 4277
RS_GCF_000014565.1 4361 4699 9060 4332 4729 1967 7094 9061
RS_GCF_000158595.1 978 983 1961 893 1068 541 1420 1961
RS_GCF_000613825.1 1905 1577 3482 2008 1495 926 2577 3503
RS_GCF_001421165.1 1463 1597 3060 1245 1817 544 2518 3062
RS_GCF_000304335.1 1747 1927 3674 1510 2183 617 3076 3693
RS_GCF_000003925.1 2609 3016 5625 2574 3051 1003 4622 5625
RS_GCF_000241955.1 1419 3465 4884 1251 3634 476 4409 4885
RS_GCF_000376825.1 1517 1886 3403 1330 2072 526 2876 3402
RS_GCF_001029505.1 1457 1672 3129 1289 1869 649 2509 3158
RS_GCF_000144625.1 1972 2271 4243 1697 2544 701 3540 4241
RS_GCF_000012825.1 2428 1790 4218 2300 1918 914 3304 4218
RS_GCF_000428725.1 2174 2493 4667 2034 2738 874 3898 4772
RS_GCF_000614025.1 1742 998 2740 1840 984 971 1853 2824
RS_GCF_000443775.1 991 1791 2782 1001 1844 375 2470 2845
RS_GCF_000718625.1 4163 3596 7759 4027 3890 1713 6204 7917
RS_GCF_000733945.1 1865 1665 3530 1705 1829 678 2856 3534
RS_GCF_000499185.1 722 1033 1755 586 1176 281 1481 1762
RS_GCF_000013165.1 297 492 789 211 578 159 630 789
RS_GCF_000429405.1 2197 1687 3884 2064 1838 868 3034 3902
RS_GCF_000350085.1 2859 3131 5990 2457 3604 1024 5037 6061
RS_GCF_001072375.1 729 1103 1832 710 1184 302 1592 1894
RS_GCF_000980895.1 1865 1911 3776 1608 2223 742 3089 3831
RS_GCF_000255135.1 955 1122 2077 769 1308 375 1702 2077
RS_GCF_001314225.1 2230 2286 4516 2030 2488 942 3576 4518
RS_GCF_000347595.1 592 1586 2178 482 1697 188 1991 2179
RS_GCF_000272045.2 1641 2652 4293 1447 2865 504 3808 4312
RS_GCF_001053095.1 1585 2773 4358 1473 2926 705 3694 4399
RS_GCF_000826065.1 1467 1584 3051 1353 1709 676 2386 3062
RS_GCF_000187935.1 794 1335 2129 724 1405 268 1861 2129
RS_GCF_000214175.1 2092 2467 4559 1954 2607 820 3741 4561
RS_GCF_000718525.1 3515 3061 6576 3288 3413 1359 5342 6701
RS_GCF_001026905.1 1897 2269 4166 1638 2572 618 3592 4210
RS_GCF_000411235.1 828 1295 2123 732 1390 319 1803 2122
RS_GCF_000527695.1 830 1248 2078 738 1344 360 1722 2082
RS_GCF_000011385.1 2585 1931 4516 2403 2114 1061 3456 4517
RS_GCF_000775615.1 1218 1955 3173 1195 2015 469 2741 3210
RS_GCF_000070465.1 1252 2157 3409 940 2469 410 2999 3409
RS_GCF_000383935.1 3933 3182 7115 3682 3459 1581 5560 7141
RS_GCF_000283275.1 1466 2289 3755 1150 2605 454 3301 3755
RS_GCF_000425585.1 2301 1675 3976 2178 1826 969 3035 4004
RS_GCF_000730665.1 1901 2930 4831 1584 3260 617 4227 4844
RS_GCF_000757845.1 1064 1004 2068 958 1111 595 1474 2069
RS_GCF_000687775.1 783 487 1270 279 398 204 473 677
RS_GCF_000423505.1 845 1194 2039 752 1293 334 1711 2045
RS_GCF_001422425.1 2310 2025 4335 1950 2410 960 3400 4360
RS_GCF_001263435.1 1398 2622 4020 1313 2750 605 3458 4063
RS_GCF_000265245.1 1083 2147 3230 859 2392 329 2922 3251
RS_GCF_000472505.1 1295 1741 3036 1005 2040 392 2653 3045
RS_GCF_001192695.1 2287 2876 5163 2016 3161 858 4319 5177
RS_GCF_000369545.1 1556 2066 3622 1397 2225 656 2966 3622
RS_GCF_000718235.1 3597 3092 6689 3369 3401 1446 5324 6770
RS_GCF_000007765.2 962 1096 2058 925 1133 573 1485 2058
RS_GCF_000613665.1 2961 1776 4737 3206 1569 1523 3252 4775
RS_GCF_000583215.1 1528 1865 3393 1388 2063 554 2897 3451
RS_GCF_000385395.1 566 834 1400 465 937 250 1152 1402
RS_GCF_000379525.1 3656 2331 5987 3449 2681 1678 4452 6130
RS_GCF_001267255.1 619 1520 2139 522 1617 161 1978 2139
RS_GCF_001295775.1 1668 1800 3468 1400 2084 633 2851 3484
RS_GCF_000023065.1 962 2212 3174 816 2360 342 2834 3176
RS_GCF_000153185.1 1908 2237 4145 1711 2437 700 3448 4148
RS_GCF_000531755.1 1747 2343 4090 1959 2414 898 3475 4373
RS_GCF_000455265.1 2313 2760 5073 2094 2981 832 4243 5075
RS_GCF_000747135.1 1320 1563 2883 1087 1813 453 2447 2900
RS_GCF_001266755.1 1598 1853 3451 1362 2090 557 2895 3452
RS_GCF_000421445.1 2566 2345 4911 2436 2516 1051 3901 4952
RS_GCF_000224065.1 2261 2372 4633 2080 2685 863 3902 4765
RS_GCF_001424595.1 1710 1725 3435 1492 1949 672 2769 3441
RS_GCF_000009725.1 1986 1724 3710 1746 1967 789 2924 3713
RS_GCF_000178415.2 3534 4411 7945 3039 4910 1346 6603 7949
RS_GCF_000023045.1 1276 1768 3044 1157 1887 512 2532 3044
RS_GCF_000760035.1 939 1001 1940 854 1099 508 1445 1953
RS_GCF_000160655.1 1092 1304 2396 991 1423 456 1958 2414
RS_GCF_000722995.1 1773 2524 4297 1777 2572 840 3509 4349
RS_GCF_000273175.1 2584 1828 4412 2534 1884 1038 3380 4418
RS_GCF_000382165.1 1619 2032 3651 1466 2254 589 3131 3720
RS_GCF_000306675.1 2232 1424 3656 2176 1527 1187 2516 3703
RS_GCF_000317555.1 2733 2512 5245 2616 2634 1070 4180 5250
RS_GCF_000771625.1 1158 1141 2299 1006 1308 527 1787 2314
RS_GCF_000420325.1 1508 2183 3691 1258 2436 494 3200 3694
RS_GCF_000170895.1 5738 2480 8218 5752 2557 3191 5118 8309
RS_GCF_000012505.1 1305 1155 2460 1135 1326 674 1787 2461
RS_GCF_000179395.2 1462 1713 3175 1327 1848 639 2536 3175
RS_GCF_000336235.1 1715 953 2668 1723 1036 869 1890 2759
RS_GCF_000259365.1 1214 2801 4015 1354 2661 489 3526 4015
RS_GCF_000962995.1 1384 1755 3139 1155 1986 591 2550 3141
RS_GCF_000612055.1 864 1240 2104 714 1393 349 1758 2107
RS_GCF_000736535.1 1501 2244 3745 1553 2293 691 3155 3846
RS_GCF_000559025.1 1837 1977 3814 1518 2341 667 3192 3859
RS_GCF_000382325.1 1432 1460 2892 1172 1726 500 2398 2898
RS_GCF_000332255.1 2211 2112 4323 2136 2190 992 3334 4326
RS_GCF_000607165.1 2519 2879 5398 2079 3338 1025 4392 5417
RS_GCF_000525955.1 1470 1914 3384 1618 1809 647 2780 3427
RS_GCF_001281405.1 443 812 1255 307 948 165 1090 1255
RS_GCF_000286835.2 1865 2679 4544 1623 2950 657 3916 4573
RS_GCF_000455525.1 2158 1763 3921 1993 1929 950 2972 3922
RS_GCF_000023645.1 1983 2119 4102 1808 2294 732 3370 4102
RS_GCF_001189555.1 797 1284 2081 661 1425 280 1806 2086
RS_GCF_000012625.1 1671 1221 2892 1513 1379 968 1924 2892
RS_GCF_001421705.1 1621 2346 3967 1294 2688 502 3480 3982
RS_GCF_000236405.1 113 447 560 85 475 38 522 560
RS_GCF_000518305.1 950 529 1479 325 417 210 532 742
RS_GCF_000710935.1 1215 1581 2796 1038 1816 397 2457 2854
RS_GCF_000012485.1 962 1235 2197 801 1397 345 1853 2198
RS_GCF_000270145.1 917 1364 2281 816 1466 313 1969 2282
RS_GCF_000420725.1 1171 1995 3166 1171 2049 495 2725 3220
RS_GCF_000803105.1 1704 1466 3170 1589 1601 630 2560 3190
RS_GCF_000179915.2 2365 1909 4274 2114 2160 909 3365 4274
RS_GCF_000374425.1 1667 1800 3467 1541 1950 768 2723 3491
RS_GCF_000011305.1 1281 1596 2877 1107 1770 506 2371 2877
RS_GCF_000327065.1 1736 2568 4304 1376 2927 528 3775 4303
RS_GCF_001182895.1 1563 2062 3625 1406 2380 605 3181 3786
RS_GCF_000012405.1 1435 1700 3135 1288 1858 567 2579 3146
RS_GCF_000196255.1 2506 3315 5821 2445 3378 1154 4669 5823
RS_GCF_000282475.1 2612 3970 6582 2333 4337 934 5736 6670
RS_GCF_000486025.1 1015 2847 3862 1150 2858 382 3626 4008
RS_GCF_000421065.1 3090 2184 5274 2867 2409 1338 3938 5276
RS_GCF_000312425.1 2707 2969 5676 2328 3349 941 4736 5677
RS_GCF_000964075.1 1526 1501 3027 1205 1850 567 2488 3055
RS_GCF_000178095.1 782 1078 1860 760 1124 296 1588 1884
RS_GCF_000021345.1 3039 3501 6540 2457 4083 1028 5512 6540
RS_GCF_000306785.1 2709 2595 5304 2415 2889 989 4315 5304
RS_GCF_001190945.1 2729 2436 5165 2489 2677 940 4226 5166
RS_GCF_000282275.2 2311 3207 5518 1968 3553 787 4734 5521
RS_GCF_000160035.2 1611 1481 3092 1410 1692 601 2501 3102
RS_GCF_000738005.1 832 1078 1910 701 1210 303 1608 1911
RS_GCF_000426545.1 2630 2945 5575 2471 3123 1095 4499 5594
RS_GCF_000014125.1 909 1411 2320 815 1505 332 1988 2320
RS_GCF_000263355.1 1996 2138 4134 1704 2440 669 3475 4144
RS_GCF_000828775.1 1373 3514 4887 1297 3592 460 4429 4889
RS_GCF_000021065.1 24 556 580 35 545 14 566 580
RS_GCF_000204645.1 1959 2838 4797 1597 3200 562 4235 4797
RS_GCF_000375625.1 3697 3152 6849 3430 3442 1443 5429 6872
RS_GCF_000478985.1 874 998 1872 859 1059 341 1577 1918
RS_GCF_001048495.1 2075 2807 4882 1896 3077 774 4199 4973
RS_GCF_000747315.1 1062 1236 2298 954 1344 487 1811 2298
RS_GCF_000746275.1 934 1269 2203 740 1483 276 1947 2223
RS_GCF_001306915.1 1839 2252 4091 1669 2458 666 3461 4127
RS_GCF_000498295.1 495 1235 1730 448 1288 175 1561 1736
RS_GCF_001022155.1 1455 3792 5247 1528 3724 650 4602 5252
RS_GCF_000752475.1 532 1816 2348 500 1883 196 2187 2383
RS_GCF_000708185.1 1293 1396 2689 1071 1650 555 2166 2721
RS_GCF_000689915.1 1638 3175 4813 1339 3508 421 4426 4847
RS_GCF_001059425.1 408 1372 1780 344 1448 135 1657 1792
RS_GCF_000755185.1 851 1278 2129 735 1395 341 1789 2130
RS_GCF_000759975.1 973 998 1971 885 1098 530 1453 1983
RS_GCF_001424525.1 2185 1906 4091 1809 2294 881 3222 4103
RS_GCF_000428765.1 1268 1319 2587 1021 1565 461 2125 2586
RS_GCF_000512125.1 1100 3382 4482 1180 3302 423 4059 4482
RS_GCF_000022645.2 3180 3232 6412 2658 3755 1309 5104 6413
RS_GCF_000502935.1 3223 3293 6516 2794 3764 1154 5404 6558
RS_GCF_001186155.3 1297 2014 3311 1227 2085 513 2799 3312
RS_GCF_001428925.1 2322 2691 5013 1899 3131 760 4270 5030
RS_GCF_000275925.1 2409 3745 6154 2255 4099 884 5470 6354
RS_GCF_000741535.1 791 945 1736 671 1078 326 1423 1749
RS_GCF_000495835.1 1970 1749 3719 1722 2023 775 2970 3745
RS_GCF_001028645.1 818 1551 2369 828 1542 334 2036 2370
RS_GCF_000243335.1 2671 1590 4261 2465 1803 1218 3050 4268
RS_GCF_001428125.1 1834 1883 3717 1646 2073 663 3056 3719
RS_GCF_000374205.1 4526 3895 8421 3939 4571 1906 6604 8510
RS_GCF_001294685.1 904 1636 2540 793 1786 290 2289 2579
RS_GCF_000085865.1 649 472 1121 206 354 151 409 560
RS_GCF_000568155.1 1255 3478 4733 1257 3481 416 4322 4738
RS_GCF_001070715.1 851 1200 2051 851 1264 350 1765 2115
RS_GCF_001422725.1 2807 1959 4766 2685 2098 1187 3596 4783
RS_GCF_000524475.1 1910 2462 4372 1833 2583 733 3683 4416
RS_GCF_000466465.2 2898 2680 5578 2739 2895 991 4643 5634
RS_GCF_000568555.1 2411 2829 5240 1959 3286 695 4550 5245
RS_GCF_000217795.1 956 1290 2246 781 1465 322 1924 2246
RS_GCF_000723165.1 2359 2767 5126 1919 3208 822 4305 5127
RS_GCF_000401175.1 949 1708 2657 796 1861 283 2374 2657
RS_GCF_001042525.2 992 1190 2182 1054 1128 588 1594 2182
RS_GCF_000347675.2 2144 2239 4383 1819 2567 753 3633 4386
RS_GCF_000428865.1 692 1104 1796 700 1151 284 1567 1851
RS_GCF_000224655.1 2182 1870 4052 2008 2085 1063 3030 4093
RS_GCF_000495795.1 2507 2099 4606 2214 2431 924 3721 4645
RS_GCF_000464455.1 1254 1233 2487 1089 1439 470 2058 2528
RS_GCF_001421825.1 1795 1826 3621 1456 2168 676 2948 3624
RS_GCF_000513975.1 1670 2437 4107 1306 2856 564 3598 4162
RS_GCF_000813585.1 1201 3356 4557 1214 3376 416 4174 4590
RS_GCF_000619985.1 1671 1300 2971 1586 1435 715 2306 3021
RS_GCF_000258405.1 1629 1515 3144 1463 1685 668 2480 3148
RS_GCF_000331575.1 1417 1957 3374 1297 2084 515 2866 3381
RS_GCF_000981035.1 1258 1696 2954 1308 1763 542 2529 3071
RS_GCF_000599545.1 3708 4712 8420 3581 4845 1449 6977 8426
RS_GCF_000709535.1 856 3156 4012 968 3045 315 3698 4013
RS_GCF_000509125.1 1729 2136 3865 1731 2149 648 3232 3880
RS_GCF_000761475.1 1104 2270 3374 886 2499 336 3049 3385
RS_GCF_000614245.1 1964 1122 3086 2127 1007 1108 2026 3134
RS_GCF_000518785.1 2108 2591 4699 1672 3042 571 4143 4714
RS_GCF_000813345.1 1085 1511 2596 914 1691 382 2223 2605
RS_GCF_000311845.1 849 1062 1911 748 1164 319 1593 1912
RS_GCF_000955815.1 1995 3068 5063 1695 3411 688 4418 5106
RS_GCF_000195755.1 1667 1641 3308 1382 1927 663 2646 3309
RS_GCF_001282685.1 2091 2090 4181 1966 2216 798 3384 4182
RS_GCF_000820045.1 1682 2534 4216 1497 2770 651 3616 4267
RS_GCF_000280865.1 3673 3099 6772 3356 3405 1491 5270 6761
RS_GCF_000152625.1 1542 1944 3486 1218 2271 470 3019 3489
RS_GCF_000178835.2 2263 1995 4258 2051 2207 950 3308 4258
RS_GCF_001006065.1 4071 2345 6416 4875 1729 2252 4352 6604
RS_GCF_000379425.1 1185 1590 2775 1133 1682 504 2311 2815
RS_GCF_000987835.1 1053 1136 2189 875 1314 403 1786 2189
RS_GCF_000758705.1 2906 3305 6211 2661 3550 1113 5098 6211
RS_GCF_000332135.1 3094 2048 5142 2922 2223 1372 3773 5145
RS_GCF_000308875.1 4146 3663 7809 4023 3848 1729 6142 7871
RS_GCF_000753815.1 1040 490 1530 328 399 229 498 727
RS_GCF_000143205.1 1084 1493 2577 1036 1541 447 2130 2577
RS_GCF_000484535.1 2554 1922 4476 2356 2123 1079 3400 4479
RS_GCF_000259875.1 2115 2649 4764 1896 2910 796 4010 4806
RS_GCF_000787385.1 3299 3312 6611 4075 2595 1555 5115 6670
RS_GCF_000317265.1 3780 2837 6617 3752 2970 1674 5048 6722
RS_GCF_000328545.1 1229 1623 2852 1108 1744 455 2397 2852
RS_GCF_000454045.1 2686 3214 5900 2489 3413 936 4966 5902
RS_GCF_000427295.1 3321 2179 5500 3453 2148 1480 4121 5601
RS_GCF_000006605.1 842 1293 2135 765 1372 345 1792 2137
RS_GCF_000160535.1 1591 1112 2703 1479 1233 794 1918 2712
RS_GCF_000423905.1 878 1359 2237 728 1537 313 1952 2265
RS_GCF_001421425.1 2374 3536 5910 2052 3865 860 5057 5917
RS_GCF_000393895.1 1874 2326 4200 1788 2418 768 3438 4206
RS_GCF_000967495.1 2106 2565 4671 1860 2894 838 3916 4754
RS_GCF_000230895.2 2877 3399 6276 2901 3376 1165 5112 6277
RS_GCF_001189535.1 1504 1747 3251 1294 1958 492 2760 3252
RS_GCF_000803645.1 2582 2310 4892 2179 2713 945 3947 4892
RS_GCF_000153725.1 2300 2757 5057 1878 3182 758 4302 5060
RS_GCF_000007985.2 1532 1879 3411 1347 2070 518 2899 3417
RS_GCF_000068585.1 354 542 896 314 582 194 702 896
RS_GCF_000827735.1 1298 1046 2344 1240 1151 605 1786 2391
RS_GCF_000973505.1 31 571 602 33 569 20 582 602
RS_GCF_000833975.1 1551 1106 2657 1508 1189 754 1943 2697
RS_GCF_000153225.1 1215 1209 2424 1102 1323 492 1933 2425
RS_GCF_001426105.1 1823 2549 4372 1727 2646 714 3659 4373
RS_GCF_000717095.1 4804 4019 8823 4617 4351 1928 7040 8968
RS_GCF_000817995.1 755 1005 1760 619 1141 280 1480 1760
RS_GCF_000021485.1 1501 1549 3050 1245 1806 705 2346 3051
RS_GCF_000007785.1 1506 1764 3270 1404 1867 647 2624 3271
RS_GCF_001424715.1 1455 1693 3148 1238 1913 570 2581 3151
RS_GCF_001267925.1 1664 2778 4442 1275 3167 469 3973 4442
RS_GCF_000170735.1 752 991 1743 644 1129 329 1444 1773
RS_GCF_000372645.1 1900 2148 4048 1590 2487 635 3442 4077
RS_GCF_000875755.1 921 572 1493 296 465 187 574 761
RS_GCF_000300415.1 2032 2958 4990 1666 3401 687 4380 5067
RS_GCF_000691145.1 1257 2497 3754 1329 2437 514 3252 3766
RS_GCF_000021545.1 658 1057 1715 541 1175 256 1460 1716
RS_GCF_000591415.1 1443 2272 3715 1417 2345 549 3213 3762
RS_GCF_001412105.1 1048 1282 2330 968 1362 490 1840 2330
RS_GCF_000800825.1 1162 2527 3689 1251 2438 452 3237 3689
RS_GCF_000020105.1 1005 1251 2256 866 1392 511 1747 2258
RS_GCF_000714545.1 1597 2026 3623 1261 2416 525 3152 3677
RS_GCF_000765975.1 985 933 1918 937 1004 416 1525 1941
RS_GCF_000429225.1 1576 1273 2849 1403 1510 732 2181 2913
RS_GCF_000190555.1 1401 1345 2746 1179 1568 656 2091 2747
RS_GCF_001044245.1 2349 3103 5452 2416 3058 912 4562 5474
RS_GCF_000746985.1 1588 2677 4265 1362 2957 569 3750 4319
RS_GCF_000266885.1 2684 1505 4189 2316 1873 1275 2914 4189
RS_GCF_000440555.1 806 1231 2037 747 1315 311 1751 2062
RS_GCF_000307145.1 613 1660 2273 501 1772 218 2055 2273
RS_GCF_000816265.1 776 979 1755 624 1131 352 1403 1755
RS_GCF_001312005.1 3431 2570 6001 4286 1893 1932 4247 6179
RS_GCF_000154285.1 1000 1148 2148 910 1249 427 1732 2159
RS_GCF_000732725.1 2151 2021 4172 1897 2281 760 3418 4178
RS_GCF_000146165.2 2000 2595 4595 1851 2744 752 3843 4595
RS_GCF_000621005.1 845 992 1837 696 1178 446 1428 1874
RS_GCF_001403775.1 869 1137 2006 776 1238 344 1670 2014
RS_GCF_000175895.1 1247 1054 2301 1143 1228 535 1836 2371
RS_GCF_000243135.2 1535 1869 3404 1359 2045 548 2856 3404
RS_GCF_000621085.1 973 492 1465 272 393 173 492 665
RS_GCF_000512145.1 465 481 946 367 579 227 719 946
RS_GCF_001425325.1 1582 1791 3373 1379 1994 551 2822 3373
RS_GCF_000744375.1 1773 1960 3733 1695 2044 785 2954 3739
RS_GCF_000619905.2 1485 1515 3000 1284 1719 727 2276 3003
RS_GCF_000295735.1 1565 1778 3343 1505 2026 667 2864 3531
RS_GCF_000702485.1 1872 2190 4062 1795 2269 870 3194 4064
RS_GCF_001022195.1 2203 4668 6871 2272 4606 931 5947 6878
RS_GCF_000411535.1 703 1153 1856 640 1216 290 1566 1856
RS_GCF_001375495.1 1067 1378 2445 1014 1439 499 1954 2453
RS_GCF_000735445.1 1269 3446 4715 1229 3521 413 4337 4750
RS_GCF_001426645.1 1344 1879 3223 999 2226 376 2849 3225
RS_GCF_000495855.1 2014 1771 3785 1714 2109 759 3064 3823
RS_GCF_001151185.1 1055 3104 4159 1020 3159 404 3775 4179
RS_GCF_000300195.1 2064 1879 3943 1930 2031 809 3152 3961
RS_GCF_000613645.1 1877 1510 3387 2015 1411 808 2618 3426
RS_GCF_000162895.1 1040 1060 2100 945 1157 502 1600 2102
RS_GCF_000024265.1 1626 1490 3116 1392 1724 552 2564 3116
RS_GCF_000718085.1 1545 1611 3156 1332 1833 672 2493 3165
RS_GCF_000621385.1 1555 1609 3164 1427 1745 810 2362 3172
RS_GCF_000745725.1 3183 3769 6952 2669 4303 1079 5893 6972
RS_GCF_001182825.2 763 1121 1884 962 924 360 1526 1886
RS_GCF_000376945.1 1265 2202 3467 987 2477 343 3121 3464
RS_GCF_000826835.1 1935 2077 4012 1525 2537 650 3412 4062
RS_GCF_000025725.1 1294 1727 3021 1172 1849 486 2535 3021
RS_GCF_000768585.1 884 1284 2168 836 1356 341 1851 2192
RS_GCF_000613785.1 1731 1059 2790 1850 1005 961 1894 2855
RS_GCF_000717405.1 3520 3360 6880 3429 3474 1496 5407 6903
RS_GCF_000178955.2 2802 2103 4905 2519 2387 1160 3746 4906
RS_GCF_000174355.1 1454 2459 3913 1125 2792 447 3470 3917
RS_GCF_000425105.1 1189 1419 2608 1018 1600 445 2173 2618
RS_GCF_000473205.1 2339 2474 4813 1918 2895 828 3985 4813
RS_GCF_000163475.1 461 1552 2013 384 1633 170 1847 2017
RS_GCF_001423525.1 1867 2147 4014 1667 2365 707 3325 4032
RS_GCF_000247625.1 821 654 1475 769 714 537 946 1483
RS_GCF_000770945.1 856 1001 1857 756 1120 359 1517 1876
RS_GCF_000765685.1 921 941 1862 884 1123 521 1486 2007
RS_GCF_000515235.1 1631 1242 2873 1451 1424 876 1999 2875
RS_GCF_000420545.1 1312 1563 2875 1065 1815 433 2447 2880
RS_GCF_000615805.1 803 1402 2205 955 1269 328 1896 2224
RS_GCF_000147075.1 1010 1219 2229 802 1427 372 1857 2229
RS_GCF_000064305.2 1349 1164 2513 1234 1280 550 1964 2514
RS_GCF_000278155.1 654 911 1565 543 1029 307 1265 1572
RS_GCF_000264055.1 2025 1505 3530 2002 1615 1002 2615 3617
RS_GCF_000429925.1 1952 1907 3859 1802 2088 785 3105 3890
RS_GCF_000244755.1 2332 1537 3869 2126 1750 1068 2808 3876
RS_GCF_000265465.1 1317 1018 2335 1242 1093 707 1628 2335
RS_GCF_001023535.1 2209 3312 5521 1808 3714 714 4808 5522
RS_GCF_001425125.1 2022 2666 4688 1631 3069 592 4108 4700
RS_GCF_000187745.1 907 1182 2089 847 1261 342 1766 2108
RS_GCF_000372965.1 2673 3179 5852 2158 3694 785 5067 5852
RS_GCF_000799095.1 1395 1844 3239 1150 2104 464 2790 3254
RS_GCF_000381945.1 1171 1563 2734 909 1852 381 2380 2761
RS_GCF_000153565.1 1443 1825 3268 1262 2021 566 2717 3283
RS_GCF_000975175.1 3018 3408 6426 2824 3603 1151 5276 6427
RS_GCF_000967115.2 1320 1530 2850 1188 1664 544 2308 2852
RS_GCF_000214375.1 1835 1666 3501 1583 1917 751 2749 3500
